Year,Population
2010,4350700
2011,4384000
2012,4408100
2013,4442100
2014,4516500
2015,4609400
2016,4714100
2017,4813600
2018,4900600
2019,4979200
2020,5090200
2021,5111300
2022,5117200
2023,5223100
2024,5338900
2025,5460100
