Vote,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Internal Affairs,280157,294846,348935,523066,542445,546097,556267,624973,687788,685978,758281,1112685,1093678,1765007
Justice,375602,356727,377091,333632,399784,438468,529931,525147,504452,509294,591151,700809,588627,827013
Labour Market,103065,108811,98717,93409,1471592,1360542,1532730,1704266,1874368,2000724,2086820,2429157,2651773,2930036
Lands,132303,169812,133977,180285,268661,219472,216295,292252,251575,293673,310699,330265,372461,498224
Local Government,83265,124635,69890,0,0,0,0,0,0,0,0,0,0,0
Maori Development,176737,189900,194706,195803,209660,213991,240911,291847,306909,336080,432451,502990,716194,574539
Ministerial Services,58470,59545,59180,0,0,0,0,0,0,0,0,0,0,0
Office of the Clerk,20210,18169,17433,18223,22127,20064,20314,22887,21957,21816,21234,22008,23418,28852
Official Development Assistance (old),473806,556964,564746,490128,587487,568157,592071,592219,706997,780223,814630,0,0,0
Ombudsmen,8164,8933,8958,9762,10078,12202,12534,14974,17273,18166,23529,27124,32530,50840
Oranga Tamariki,0,0,0,0,0,0,0,156629,863827,979957,1132695,1360799,1430260,1531307
Pacific Peoples,7490,8606,8731,8596,9237,8634,8851,9314,9639,11785,19996,49123,61030,85078
Parliamentary Commissioner for the Environment,2584,2620,2657,2707,2742,3240,3267,3377,3322,3559,3701,3544,4400,4556
Parliamentary Counsel,21438,21384,22648,21775,18017,18642,19163,21833,20455,20111,20518,19001,21527,28900
Parliamentary Service,124178,130898,134403,132132,138841,141988,148842,149990,152133,150021,167137,177458,168534,237305
Pike River Re-entry (old),0,0,0,0,0,0,0,0,2151,16050,17681,10574,3259,0
Police,1510512,1553400,1556777,1586731,1564534,1595717,1626254,1679881,1757312,2089647,2201720,2237275,2386386,2792347
Prime Minister and Cabinet,38028,36850,21487,24020,29649,46262,59965,110365,90173,107433,128645,117119,193691,620065
Public Service,0,0,0,0,0,0,0,0,0,60577,60865,62241,65397,70054
Racing,4169,4162,1134,0,0,0,0,0,0,0,0,0,0,0
Revenue (IRD),6030927,6087655,5747315,6449591,6381789,6064917,5696818,5663654,5706657,6720953,11879241,14811299,19866146,17259080
Security Intelligence,37888,37554,40848,34209,41049,44770,50154,57105,66777,74178,90000,95166,91433,99830
Senior Citizens,923,820,775,979,0,0,0,0,0,0,0,0,0,0
Serious Fraud,7370,11303,8258,10355,8992,9228,9055,9540,10871,10390,9835,12334,14723,17097
Social Development,20041258,21110249,21430493,21327968,21909682,23221323,23978901,24861480,22831439,25769287,40865327,33625852,39501795,39656407
Sport and Recreation,61910,74797,80695,84129,101136,89464,84204,89193,89188,89303,97505,212868,146647,153674
State Services,208175,225488,239432,38689,39107,40723,41350,43992,61660,0,0,0,0,0
Statistics,102409,132841,122176,177538,132603,121989,143516,156294,202305,160037,158215,188955,248095,411399
Te Arawhiti,0,0,0,0,0,0,0,0,0,99656,62839,406181,288706,467769
Tertiary Education,0,0,2704233,2736661,2854570,2999779,3029560,2991770,3104107,3299734,4575075,2732654,4013684,3944555
Transport,3457136,3454051,3668331,3663338,3361749,3959340,3514622,3667893,5016970,4767829,5522805,6973605,7053670,10488067
Women,4904,4746,4594,4632,4785,5364,4743,4698,5161,5789,6354,8635,10127,13439
Treaty Negotiations,166660,472149,398959,680933,604501,165715,474826,176072,305038,0,0,0,0,0
Veterans' Affairs - Defence Force,169426,166901,158713,150383,0,0,0,0,0,0,0,0,0,0
Veterans' Affairs - Social Development,179621,178376,176904,171524,165677,0,0,0,0,0,0,0,0,0
Youth Development,14016,13954,14441,0,0,0,0,0,0,0,0,0,0,0
"Housing, Urban Development & Construction",1044082,1465373,986214,970502,1005028,410716,259201,316786,2617437,2143932,1796243,3146159,3331187,7075396
"Agriculture, Biosecurity, Fisheries, Forestry, Food Safety and Primary Industries",565486,592643,609877,597748,638396,629868,703946,719278,939724,1100616,1074761,1084657,1038815,1612758
"Business, Consumer Affairs, Economic Development, Energy, Science and Innovation",1627009,1703796,1633563,1568855,1952027,1963676,2068162,1934292,2252469,2620839,3342045,4626213,3392378,4280668
